group	letter	frequency
1	A	0.08167
1	B	0.01492
1	C	0.02782
1	D	0.04253
1	E	0.12702
1	F	0.02288
1	G	0.02015
1	H	0.06094
1	I	0.06966
1	J	0.00153
1	K	0.00772
1	L	0.04025
1	M	0.02406
1	N	0.06749
1	O	0.07507
1	P	0.01929
1	Q	0.00095
1	R	0.05987
1	S	0.06327
1	T	0.09056
1	U	0.02758
1	V	0.00978
1	W	0.02360
1	X	0.00150
1	Y	0.01974
1	Z	0.00074
2	A	0.00074
2	B	0.01974
2	C	0.0015
2	D	0.0236
2	E	0.00978
2	F	0.02758
2	G	0.09056
2	H	0.06327
2	I	0.05987
2	J	0.00095
2	K	0.01929
2	L	0.07507
2	M	0.06749
2	N	0.02406
2	O	0.04025
2	P	0.00772
2	Q	0.00153
2	R	0.06966
2	S	0.06094
2	T	0.02015
2	U	0.02288
2	V	0.12702
2	W	0.04253
2	X	0.02782
2	Y	0.01492
2	Z	0.08167